"12/25/2021 20:38","3512B Center (4TN00222)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","kPa","kPa","%","RPM","kPa","kPa","kPa","Deg C","Deg C"
"Sample #","Boost Pressure","Fuel Pressure","Throttle Position","Engine Speed","Right Turbo Inlet Pressure (abs)","Left Turbo Inlet Pressure (abs)","Crankcase Pressure","Right Exhaust Temperature","Left Exhaust Temperature"
124,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,266,Timed Out
125,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
126,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
127,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
128,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,262,Timed Out
129,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,262,Timed Out
130,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
131,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
132,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
133,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
134,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
135,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
136,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
137,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
138,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
139,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
140,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,304,Timed Out
141,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
142,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
143,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
144,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
145,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,299,Timed Out
146,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
147,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
148,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
149,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
150,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
151,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
152,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
153,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
154,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
155,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
156,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
157,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
158,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
159,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
160,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
161,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
162,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
163,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
164,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
165,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
166,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
167,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
168,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
169,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
170,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
171,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,280,Timed Out
172,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
173,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
174,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
175,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
176,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
177,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
178,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
179,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
180,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,271,Timed Out
181,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
182,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,290,Timed Out
183,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
184,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
185,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,285,Timed Out
186,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
187,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,Timed Out,276,Timed Out
