"12/22/2021 19:36","3512B Port (4TN00220)","(Total Samples = 2000 - Sample Rate = 120 Per Minute)"
"Unit Descriptions","Deg C","kPa","Deg C","Deg C","Deg C","kPa","kPa"
"Sample #","Engine Coolant Temperature","Peak Air Filter Restriction","Aftercooler Temperature","Right Exhaust Temperature","Left Exhaust Temperature","Right Air Filter Restriction","Left Air Filter Restriction"
1,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2,No Data,No Data,No Data,No Data,No Data,No Data,No Data
3,No Data,No Data,No Data,No Data,No Data,No Data,No Data
4,No Data,No Data,No Data,No Data,No Data,No Data,No Data
423,78,2.5,32,336,345,0.4,0.5
424,78,2.5,32,340,340,0.3,0.5
425,78,2.5,32,318,354,0.3,0.5
426,78,2.5,32,332,354,0.4,0.6
427,78,2.5,32,336,345,0.3,0.6
428,78,2.5,32,332,345,0.4,0.6
429,78,2.5,32,322,340,0.3,0.5
430,78,2.5,32,332,354,0.3,0.6
431,78,2.5,32,340,359,0.4,0.5
432,78,2.5,32,327,354,0.3,0.6
433,78,2.5,32,340,345,0.3,0.6
434,78,2.5,32,340,349,0.4,0.5
435,78,2.5,32,345,349,0.3,0.5
436,78,2.5,32,327,359,0.3,0.5
437,78,2.5,32,336,359,0.4,0.6
438,78,2.5,32,345,336,0.3,0.5
439,78,2.5,32,336,354,0.3,0.5
440,78,2.5,32,327,349,0.3,0.5
441,78,2.5,32,327,340,0.3,0.6
442,78,2.5,32,340,354,0.3,0.5
443,78,2.5,32,336,359,0.3,0.6
444,78,2.5,32,318,354,0.4,0.5
445,78,2.5,32,327,354,0.3,0.6
446,78,2.5,32,318,359,0.3,0.6
447,78,2.5,32,340,345,0.3,0.6
448,78,2.5,32,340,336,0.2,0.5
449,78,2.5,32,336,336,0.4,0.5
450,78,2.5,32,345,340,0.3,0.5
451,78,2.5,32,327,340,0.3,0.5
452,78,2.5,32,327,345,0.3,0.5
453,78,2.5,32,318,336,0.3,0.6
454,78,2.5,32,327,349,0.3,0.5
455,78,2.5,32,336,359,0.3,0.5
456,78,2.5,32,340,345,0.3,0.6
457,78,2.5,32,318,345,0.3,0.5
458,78,2.5,32,318,336,0.2,0.4
459,78,2.5,32,327,340,0.3,0.5
460,78,2.5,32,340,336,0.3,0.6
461,78,2.5,32,327,359,0.3,0.5
462,78,2.5,32,336,349,0.3,0.5
463,78,2.5,32,340,345,0.3,0.5
464,78,2.5,32,332,345,0.2,0.5
465,78,2.5,32,322,345,0.3,0.5
466,78,2.5,32,322,359,0.3,0.5
467,78,2.5,32,332,354,0.4,0.6
468,78,2.5,32,340,359,0.3,0.6
469,78,2.5,32,322,359,0.3,0.5
470,78,2.5,32,322,340,0.3,0.6
471,78,2.5,32,322,354,0.4,0.6
472,78,2.5,32,340,349,0.3,0.5
473,78,2.5,32,322,349,0.3,0.5
474,78,2.5,32,322,340,0.3,0.5
475,78,2.5,32,336,340,0.3,0.5
476,78,2.5,32,340,336,0.3,0.5
477,78,2.5,32,327,354,0.3,0.6
478,78,2.5,32,322,349,0.4,0.6
479,78,2.5,32,336,340,0.3,0.6
480,78,2.5,32,340,345,0.3,0.5
481,78,2.5,32,336,336,0.4,0.5
482,78,2.5,32,322,336,0.3,0.6
483,78,2.5,32,336,359,0.3,0.6
484,78,2.5,32,336,354,0.4,0.5
485,78,2.5,32,327,359,0.3,0.6
486,78,2.5,32,336,354,0.3,0.5
487,78,2.5,32,336,349,0.3,0.5
488,78,2.5,32,332,345,0.3,0.6
489,78,2.5,32,318,354,0.3,0.6
490,78,2.5,32,322,336,0.3,0.5
491,78,2.5,32,327,336,0.3,0.5
492,78,2.5,32,336,349,0.3,0.5
493,78,2.5,32,336,345,0.3,0.5
494,78,2.5,32,332,354,0.3,0.5
495,78,2.5,32,327,345,0.3,0.4
496,78,2.5,32,318,354,0.3,0.5
497,78,2.5,32,332,340,0.3,0.5
498,78,2.5,32,318,336,0.3,0.6
499,78,2.5,32,327,345,0.3,0.5
500,78,2.5,32,327,349,0.3,0.5
501,78,2.5,32,336,349,0.4,0.5
